"";"0501";"0502";"0503";"0504";"0505";"0506";"0507";"0508";"0509";"0510";"0511";"0512";"0513";"0514";"0515";"0516";"0517";"0518";"0519";"0520";"0521";"0522";"0523";"0524";"0525";"0526"
"501";0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;1;1
"502";1;0;0;0;1;0;1;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1;0
"503";1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;1;0;0
"504";0;0;1;0;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
"505";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"506";0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;0;0
"507";0;1;1;1;0;1;0;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;1;0;1;0
"508";0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0
"509";0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"510";1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1
"511";0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
"512";0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0
"513";1;0;1;0;1;1;0;0;0;1;1;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1
"514";0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0
"515";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1
"516";0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
"517";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1
"518";1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"519";0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0
"520";1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"521";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"522";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"523";0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0
"524";1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0
"525";1;1;0;0;1;0;1;1;0;0;0;1;1;1;0;1;1;0;1;1;1;1;1;1;0;1
"526";1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
